video_id,category,duration_sec,views,title
aJ9rM9xVYTA,25,6631,56180,【21時から5月振り返り生配信！】最新ニュースと5月の注目トピックや必見の動画を今野忍さんと山本期日前さんが一気に紹介！面白かった動画をぜひコメントしてください！【今野忍×山本期日前】｜選挙ドットコム
BVbDZ2Wa3wY,25,58,159402,戦闘3カ月　覚書交渉中に駆け引き激化　米イランまた攻撃の応酬 　停戦は維持か　米財務省「ペルシャ湾海峡庁」に制裁
67obw3dvemY,25,7649,56132,5/29（金）朝刊チェック：【悲報】高市早苗さん、犯行をほぼ自白してしまう
-5qphr-L08s,25,543,118661,台湾の大手新聞「自由時報」、ちょっとおかしいww
EBjHE6ftbzo,25,60,22160,日本の首都って二つある #ニュースあさ8時 #虎ノ門ニュース #文化人放送局 #保守 #日本保守党 #北村晴男 #百田尚樹 #政治 @百田尚樹チャンネル @弁護士北村晴男ちゃんねる #時事
Ed27vo-6wC4,25,610,31676,【ランチdeライブ】5/29（金）知ってほしい今日のニュースを厳選！いさ進一が生解説する新聞情報 ・ ニュースチェック【 15分解説 / 政治ニュース / 生配信 】
pw24l9srMUo,25,578,136013,「私たち外国人のせいかな」トラブル相次ぐ「特区民泊」に外国人“駆け込み申請”殺到のワケは？　「ビザ取得目的も」「所有者が分からなくなる」専門家はリスクを警鐘｜newsランナー〈カンテレ〉
Q2mbYH7bdT4,25,1383,95703,【10年間の二重生活】夫に隠して交際した相手を女が殺害 なぜ被害者の母が加担？…法廷で明かされた真相｜ABEMA的ニュースショー
R4phlhiNHFA,25,2281,36322,20:00～ウ軍大逆転🚨ロシア軍の攻勢が止まった！補給線寸断「兵站封鎖」作戦が戦場を変えロシアを突き放す【ウクライナ戦況Live】英情報長官「ロシア軍50万人の兵を失った」
EJRa9973eVY,25,3675,29065,高市激高！政府専用機で何が？止まらぬ官邸リークと“麻生支配”の深層
s6Etx028pXc,25,5791,32215,＜高市 右傾まっしぐら＞ 国家情報局／教育基本法／日中険悪／イラン停戦【山田厚史の週ナカ生ニュース】
FJDtu5YctdA,25,1482,1650037,【徹底取材】｢あまりに異質すぎて唖然｣　新映像と新証言で浮き彫りになった安全対策の不備　沖縄・辺野古転覆事故から２ヵ月【ウラドリ】newsおかえり特集
P7vsoWL0u3Q,25,705,68023,辺野古事故報道は“遅い”のに...朝日、琉球新報、沖縄タイムスが文科省認定に“脊髄反射”の発狂！【5/23 SAKISIRU】
6g24D4XTkuc,25,4431,74476,高市首相と自民・維新・マスコミの大劣化／中傷動画、不問の新聞・テレビ／維新・藤田氏の記者脅迫／高市首相、外交孤立で内政さらに極右化(伊藤惇夫❎尾形聡彦)【5/23(土) 18:00~ ライブ】
LVgJHOj0PqE,25,159,18759,八代市の庁舎建設をめぐる汚職事件 成松市議をあっせん収賄の罪で起訴【熊本】 (26/05/28 19:00)
rQyVQ3eAk0o,25,327,32392,土石流や倒木 鹿児島で激しい雨…異例の暑さで“赤潮”の地域も 夜には“夜光虫”の青白い光（2026年05月27日）
SDFnP_MgmIU,25,3461,27760,闇バイト！ホスト問題！個人情報漏洩！！日本のヤバい犯罪・事故ニュースまとめ
OaiEudMcP3o,25,8180,24317,報道ヨミトキWEEKLY#​​249 高市陣営世論工作国会進出SP｜『初めての公共訴訟』から考える司法のあり方、森友国を再提訴へ、国家情報会議法が成立、高市陣営中傷動画投稿問題……｜青木理（5/28）
hx5dUlj1Sb4,25,9900,53201,【5月18日～22日の解説まとめ】“米中”直後に日韓・中露が首脳会談／日韓 共通の心配は自国の防衛／日韓会談で一致したエネルギー協力とナフサ問題／クマ被害を減らすカギは？／全国初か 市長が産休取得へ
JJiWucBHydI,25,1192,33375,【反乱の種】ロシア企業家同盟が重火器を要求　パニクるロシア軍　
dxAS-wfdL4g,25,2232,26825,【イラン戦況・ウクライナ戦況】26年5月26日。地中海で破壊されたロシアLNGタンカーが晒される！/トランプ大統領、突然停戦条件のハードルを上げる！
v7Qz7e91VTA,25,2586,124901,《東スポ競馬ニュース》【オークス2026】本日は豪華に抽選対象含む22頭の全頭診断！！桜の女王は注目データもアリでこれで距離の不安も解決…！？競馬記者が徹底解説します
IjpKSzpKOg8,25,63,19894,【速報】歩行者の30代男女がマイクロバスにはねられる いずれも意識なし 名古屋･南区
F4pUdvQnLcU,25,589,55446,巨人・阿部監督逮捕、あまりワイドショーでやり続けるのは…▼露反発、アルメニアとアメリカ連携深める▼電気ガス代補助はよくない政策 26/5/26(火)「辛坊治郎ズームそこまで言うか!」しゃべり残し
aHmVMa4e9sI,25,2713,32755,【スクープ独占】産経編集長 矢野将史 が辺野古転覆事故の最新ニュースをお届け！事件を呼ぶ記者 三枝玄太郎が銀座６丁目の事件に遭遇など。山岡×三枝×矢野×大槻【文化人デジタル瓦版】5/27水16:58～
FoZtgPzA_CM,25,135,3460452,State of emergency declared in Southern California
4kjpIozWxNs,25,3218,50574,【“共産党シンパ”だった！！】『NW9の偏向報道！！』
qYPS08HDxBo,25,167,491326,フリマサイトで購入したコンテナ…実は盗品？持ち込んだ若い男女は追加購入の提案も　大量盗難との関係は？
62klUtomDnc,25,1491,43719,高市総理「来春までの原油を確保」テレビは絶対に放送しないニュース／中道改革連合から離党者ドミノで絶賛崩壊中 頼みの連合組合員の支持率もわずか4.6％でお先真っ暗 260526
